title,author,date
知乎周刊・权力的游戏（总第120期）,知乎,2017年8月14日
读客经典文库：三体全集（每个人的书架上都该有套《三体》！关于宇宙的狂野想象！）（套装共3册）,刘慈欣,2017年8月13日
史蒂夫·乔布斯传(Steve Jobs:A Biography)(乔布斯唯一正式授权传记中文版）（修订版） (中信十年人物经典),沃尔特·艾萨克森 (Walter Isaacson),2017年8月13日
一个人,安·兰德,2017年7月23日
黑天鹅+反脆弱+随机生存的智慧(套装共3册),纳西姆•尼古拉斯•塔勒布,2017年7月13日
稀缺：我们是如何陷入贫穷与忙碌的 (《金融时报》2013年必读十佳商业图书),塞德希尔·穆来纳森,2017年7月13日
"思考,快与慢",丹尼尔•卡尼曼,2017年7月13日
活出生命的意义,维克多·E·弗兰克尔,2017年7月13日
如何阅读一本书,莫提默·J·艾德勒,2017年7月13日
一日看尽长安花——听北大教授畅讲中国古代文学,程郁缀,2017年7月13日
改变你的服装，改变你的生活,乔治·布雷西亚,2017年7月13日
新编家常中西面点 (彩图生活悦读系列丛书),《新编家常中西面点》编委会,2017年7月13日
寻味,蔡澜,2017年7月13日
余华长篇小说：活着+兄弟+许三观卖血记+在细雨中呼喊（套装共4册）,余华,2017年7月13日
"暖食:质朴的味道,家的味道",蔡澜,2017年7月13日
家常炒饭盖饭,夏金龙,2017年7月13日
西方哲学史(英汉对照版)(修订版)(套装共2册),弗兰克·梯利 (Frank Thilly),2017年7月13日
时间管理:如何充分利用你的24小时（漫画版） (简单有趣的个人管理丛书),吉姆·兰德尔(Jim Randel),2017年7月13日
毅力:如何培养自律的习惯（漫画版） (简单有趣的个人管理丛书),吉姆·兰德尔(Jim Randel),2017年7月13日
自控力,凯利·麦格尼格尔(Kelly McGonigal),2017年7月13日
全唐诗（2）,彭定求,2017年7月11日
唐诗鉴赏辞典 (中国古典诗词曲赋鉴赏系列工具书),周啸天,2017年7月11日
宋词鉴赏辞典 (中国古典诗词曲赋鉴赏系列工具书),唐圭璋,2017年7月11日
人间词话七讲（节选）,叶嘉莹,2017年7月11日
北大出版社畅销书精选系列：叶嘉莹说柳永词,叶嘉莹,2017年7月11日
人间词话(插图本),王国维,2017年7月11日
诗经楚辞鉴赏辞典 (中国古典诗词曲赋鉴赏系列工具书),周啸天,2017年7月11日
大家小书:宋词赏析（精） (大家小书精装本),沈祖棻,2017年7月11日
开膛手与小红帽 (千种豆瓣高分原创作品·看小说),李可笑,2017年7月11日
法律到底惹了什么祸？  “刺死辱母者案”反思 (香港凤凰周刊精选故事),凤凰周刊,2017年7月10日
拯救你的注意力（《哈佛商业评论》增刊）,哈佛商业评论,2017年7月8日
天生变态狂：TED心理学家的脑犯罪之旅（《天才在左疯子在右》作者高铭真挚推荐）,詹姆斯·法隆,2017年7月8日
重口味心理学,姚尧,2017年7月8日
疯狂成瘾者：TED脑科学家的戒瘾成功之路（高铭力荐的《天生变态狂》姊妹篇）,马克•刘易斯,2017年7月8日
"四世同堂（一部中国现代长篇小说经典名著,是老舍先生的著名代表作之一。值得每一代中国人阅读的文学经典，值得每一个中国人珍藏的民族记忆！小说史诗般地展现了第二次世界大战期间，中国人民为世界反法西斯战争做出的杰出贡献，气度恢弘，可歌可泣。）",老舍,2017年7月8日
山河袈裟,李修文,2017年7月8日
黑暗时刻：希特勒、大屠杀与纳粹文化（上下册）,单世联,2017年7月8日
莫泊桑短篇小说集 (世纪文学经典),莫泊桑,2017年7月8日
不能不去爱的两件事,松浦弥太郎,2017年7月8日
上帝的图书馆 (世界奇幻大师丛书),司各特·霍金斯,2017年7月8日
世界名著名译文库 托尔斯泰集-安娜·卡列尼娜（精装版）,托尔斯泰,2017年7月8日
